Name,guesstimate,
"John McCann, Jr.",1.62702674,
Paul Wright,1.315074816,
Michael Guest,2.60395793,
Nick Stella,1.529374886,
Mike Simpson,1.84381722,
Kevin Hern,2.00050428,
Chris Collins,2.56754034,
Mike Rogers,2.01076565,
Doug LaMalfa,2.79994856,
Eliot Rabin,0.38618592,
George McDermott,0.134962814,
Mo Brooks,2.90827548,
Larry Bucshon,2.01019331,
Renee Zeno,0.011740552,
Susan Brooks,1.87603849,
Jason Gonzalez,-0.695029038,
Blaine Luetkemeyer,1.95102147,
"Rey Gonzalez, Jr.",0.543817475,
Wayne Liebnitzky,1.63949205,
Brett Guthrie,1.714924485,
Leonard Lance,1.49483345,
David McKinley,1.96004498,
Rick Crawford,2.2062504,
"William ""Bill"" Fawell",1.363282817,
Bill Flores,2.36952509,
Bruce Poliquin,2.36215444,
Roger Allison,-0.377743671,
Mike Coffman,1.98852882,
Peter Yu,1.342869306,
Chris Smith,1.76152688,
Jody Ball,1.170798762,
Francis Vitollo,0.808356498,
Jeff Jones,1.639962063,
Marla Livengood,0.65682151,
Glenn Grothman,2.64235114,
Beverly Goldstein,1.229014862,
Ted Yoho,2.62724072,
Cathy McMorris Rodgers,2.89985519,
Bryan Witt,-1.774414805,
Scott Perry,2.63686926,
Wendy Rogers,2.30271524,
Mark Barrington,1.538622864,
Don Young,2.90891294,
James Comer,1.99971944,
Douglas Dightman,1.255088766,
Naomi Levin,-0.140124178,
Ron Bassilian,-0.020017514,
Elizabeth Heng,1.416613461,
Lisa Remmer,0.067244264,
David Smalling,1.604194646,
Joseph Brumbles,1.95340543,
Nick Pierson,0.957766112,
Thomas Harrison IV,-0.461860086,
Jim Banks,2.73532913,
Steve Knight,1.745980717,
Mac Thornberry,2.30043729,
John Moolenaar,2.25858938,
Bob Latta,2.06677402,
David Valadao,2.48655557,
Pete King,1.64796856,
James O'Donnell,0.613941209,
Michael Cloud,2.41920243,
John Muniz,0.728904379,
Jim Hagedorn,2.813439,
Ron Cohen,0.750266178,
Ronald Paul Kabat,-0.372194576,
Jim Baird,1.82650945,
Johnny Nalbandian,1.563325457,
Christian Leonel Valiente,0.022349409,
Bradley Byrne,2.47493173,
Aja Smith,-0.002893867,
Matt Gaetz,3.09130135,
Jennifer Zielinski,1.28244577,
"Jitendra ""JD"" Diganvker",0.729441456,
Mike Turner,2.12449881,
Steve Von Loor,1.199705114,
Rodolfo Cortes Barragan,-0.753751156,
John Walsh,0.621027165,
Andrew Grant,1.599735274,
Randy Weber,2.52863704,
Dale Mensing,1.14797492,
Jack Bergman,2.23034377,
Gerhard Gressmann,1.04180234,
Vern Buchanan,2.13988678,
Thomas Oh,1.228548335,
Jackie Walorski,2.40757633,
"Juan Hidalgo, Jr.",-0.772766034,
John Elleson,1.079489726,
Brian Mast,2.08289123,
Thomas Massie,2.79298327,
Jimmy Lee Tillman II,-0.598688202,
Anthony Mills,-0.677951339,
Omar Navarro,0.443789808,
Duncan Hunter,2.54183113,
Andy Barr,2.9038425,
Mimi Walters,2.41950209,
Martha Roby,2.17413778,
Lutchi Gayot,-0.722556984,
Richmond Davis,1.10019936,
Michael Conaway,2.13420145,
Markwayne Mullin,2.96212719,
Anya Tynio,1.16349514,
Janice Arnold-Jones,1.72530773,
Greg Pence,2.87339102,
"Dustin ""Dusty"" Jonhson",1.65425956,
Mike Johnson,2.49954349,
Willie Billups,1.346884958,
Young Kim,2.00110905,
John Faso,1.9780208,
Russell Rene Lambert,-0.506200479,
Joseph Schneider,0.884845926,
Craig Cameron,-0.358545045,
Brian Evans,0.993083579,
Erik Paulsen,2.24683296,
Brian Fitzpatrick,1.351990036,
Liz Matory,1.182147512,
Christine Russell,1.414688114,
Charles Anthony,1.181853331,
Barry Loudermilk,2.40615647,
Joe Profit,1.253064762,
Rodney Davis,2.07989782,
Yvette Herrell,2.11870634,
Dana Rohrabacher,2.9082056,
Tim Westley,1.187618328,
Gene Green,-0.950622927,
Sam Johnson,2.23688249,
Diane Black,2.7216467,
Rick Nolan,-1.77366792,
Ryan Costello,1.474615992,
Tom Rooney,1.96159,
Michael Doyle,-2.1734583,
John Delaney,-1.675947044,
Sander Levin,-2.46307564,
Darrell Issa,2.94369523,
Thomas Garrett Jr.,2.63567641,
Bob Brady,-1.373051711,
Carol Shea-Porter,-2.49433383,
Bob Goodlatte,2.75155899,
Paul Ryan,2.48945581,
Dave Reichert,1.626087788,
Ruben Kihuen,-2.16925613,
Lynn Jenkins,1.678626448,
Mike Capuano,-2.5161154,
Brendan F. Boyle,-1.684603071,
Bill Shuster,1.80344718,
David Trott,1.71217728,
Glenn Thompson,1.87906762,
Raul Labrador,2.88928529,
Ileana Ros-Lehtinen,0.570262092,
Joe Barton,2.01491396,
Robert Scott,-1.81718638,
Luis Gutierrez,-2.59883855,
Ted Poe,2.61108984,
Trey Gowdy,2.73961932,
Frank LoBiondo,1.024303205,
Jeb Hensarling,2.60410342,
Lamar S. Smith,2.25294983,
Jimmy Duncan,2.08820419,
Niki Tsongas,-2.0436904,
Evan Jenkins,1.83698176,
Elizabeth Esty,-1.97399017,
Robert Pittenger,2.64232143,
Mark Sanford,1.95847516,
Rodney Frelinghuysen,1.55679198,
Joseph Crowley,-1.369999381,
Dennis Ross,1.58696657,
Colleen Hanabusa,-2.12363821,
Gregg Harper,2.11578526,
Jared Polis,-2.50137097,
Tim Walz,-1.94285801,
Todd Rokita,2.20196221,
Keith Ellison,-2.9893493,
Michelle Lujan Grisham,-2.56077118,
Luke Messer,2.40037759,
Kristi Noem,3.05728312,
Ed Royce,2.31593988,
Steve Pearce,2.78763186,
Greg Abbott,3.19593152,
John Kasich,0.739889944,
Matt Bevin,3.19896198,
Doug Ducey,2.22899119,
Tom Wolf,-2.12878172,
Roy Cooper,-1.71771018,
Bruce Rauner,1.71637761,
Bill Haslam,1.15551933,
Mark Dayton,-2.37471453,
Rick Snyder,1.70536527,
Dan Malloy,-2.62435625,
Pete Ricketts,2.97067342,
Jerry Brown,-2.65206691,
Ralph Northam,-1.8216762,
Andrew Cuomo,-2.21355178,
Kate Brown,-3.03333005,
Larry Hogan,0.905891362,
Jay Inslee,-2.6334052,
Eric Holcomb,1.72951637,
Chris Sununu,1.60882415,
Kim Reynolds,2.58670315,
John Hickenlooper,-1.92356246,
Jeff Colyer,1.92726636,
Charles D. Baker,0.015559438,
Henry McMaster,2.6448273,
Phil Murphy,-2.66103258,
John Bel Edwards,-1.50425553,
Doug Burgum,1.422899272,
Nathan Deal,2.00692512,
Mike Parson,2.0038909,
Matt Mead,1.411102705,
Brian Sandoval,0.955735543,
Steve Bullock,-1.70944606,
Kay Ivey,2.66652126,
Mary Fallin,2.48838441,
Gina Raimondo,-1.97820264,
Paul LePage,3.78383627,
Gary Herbert,2.39097441,
Butch Otter,2.2886156,
Phil Bryant,3.06567558,
Jim Justice,1.100577889,
Susana Martinez,1.89333402,
John C. Carney Jr.,-1.82426058,
Asa Hutchinson,2.16711203,
David Ige,-1.77137412,
Bill Walker,-0.788885369,
Phillip Scott,0.256468505,
Dennis Daugaard,1.83275653,
Andrew Yang,-3,
Joe Biden,-1.6,
Julian Castro,-3,
Pete Buttigieg,-1.8,
Tom Steyer,-3,
